Course	Room	Teacher	Time	Students
89	ESTW115	159	6	71 183 645 741 1000 1059
91	SHAAUD	43	4	20 28 55 119 190 211 260 285 383 432 490 509 535 570 637 816 825 887 917 921 942 1008 1035 1091
93	SHA217	248	4	418 422 533 666 773 800 909 997 1068
606	CHS104	180	8	160 345 667 763 817 852 873 963 1014 1038
98	HLL201	4	6	4 19 22 49 122 124 133 179 209 222 254 403 409 469
611	ESTW309	251	4	90 180 299 559 577 586 685 756 863 1138
689	STO14	36	3	15 572 854
615	SHA410	134	7	89 100 155 161 166 192 203 239 243 277 296 357 415 623 638 659 670 704 705 807 843 846 961 1042 1074 1080 1163
106	SHA412	188	6	63 96 109 393 511 569 586 587 697 773 908 968 1047 1157
108	HLS105	105	3	1 48 115 127 176 181 312 333 337 416 468 474 510 525 599 659 679 951 961 975 1022 1128 1185
110	SHA213	62	1	64
111	HLS109	153	6	1 213 273 335 392 595 648 687 758 871 999 1075
115	CHS101	97	8	84 131 133 149 155 190 206 212 223 255 354 399 530 579 590 638 650 702 726 818 829 921 989 1041 1057 1105
629	SHA217	104	1	334 822
118	ESTW115	110	1	132 136 540 654 878 994 1096
631	SHA410	225	5	115 147 159 196 208 261 283 395 439 477 518 519 589 664 668 692 697 698 742 836 883 977 985 1005 1033 1045 1174
632	SHA410	134	2	5 19 34 38 39 68 110 116 139 162 165 174 210 229 318 342 364 368 386 403 413 453 455 461 467 481 500 520 585 613 669 678 679 738 740 750 776 820 836 939 957 992 1025 1026 1028 1031 1039 1057 1058 1064 1092 1120 1139
121	HLL201	41	8	20 47 129 251 252 501 633 647 724 874 1064
123	HLS108	170	3	129 225 334 534 835 907 1073
618	HLL6	4	5	10 11 18 36 79 169 199 224 270 306 337 377 413 527 580 724 750 793 801 824 992 1024 1031 1064 1129 1136
127	HLL201	127	10	133 165 188 209 272 282 436 502 702 713 823 978
128	SHA217	87	6	93 102 347 435 666 1144 1176
704	HLL6	318	4	43 44 163 204 206 240 364 365 371 377 405 408 429 443 542 544 606 623 653 658 699 740 758 783 854 880 891
132	HLL106	320	4	197 337 465 592 715 732 755 808 844 897 1051 1147
134	GST102	160	7	72 207 598 600 669 698 718 889 906 1008 1018
620	STO119	71	5	74 631
533	HLL112	320	3	244 417 1130
144	GIACSWAN	165	8	83 266 302 465 482 548 562 564 648 805 978 998
147	STO16	73	5	178 435 462 525 634 646 663 1068
149	STO301	292	3	313 422 770 869 967
662	SHA412	248	1	102 548 556 572 781 1149
665	HLL106	323	10	238 240 374 561 654 785 835 856 958 1102 1182
669	HLS109	224	7	95 126 151 153 169 306 411 475 480 508 514 521 552 648 660 894 1001 1025 1086 1118
158	STO18	71	3	265 570 843 880
160	STO18	2	2	
675	STO301	76	1	28 188 197 202 273 537 546 560 795 827 868 961
165	HLS105	105	1	135
679	LNKL309	282	3	237 915
172	HLL6	257	6	9 35 43 44 47 127 170 190 210 253 255 290 467 495 542 584 609 614 638 647 656 662 861 891 924 1022 1053
686	GST102	77	5	16 300 659 902 1078 1146 1154
687	SHA410	43	11	23 69 361 683 744 985 1011 1084 1145 1174
177	GST103	17	1	217 743 793 940
627	GST103	112	3	220 223 438 735
180	HLL7	48	3	17 592 704 722
181	MAGILLHVID	18	9	53 106 203 269 282 311 394 555 730
184	STO10	76	4	54 181 185 363 453 659 872 884 966 975 1116 1150 1184
188	OBS	39	4	189 281 292 319 474 505 528 707 889 932 1085
714	WDS	67	5	1 47 68 81 185 202 227 268 423 456 599 695 701 704 736 755 806 813 884 926 927 937 940 1073 1120 1122
192	STOAUD	26	2	44 53 54 65 121 129 173 265 268 273 290 320 330 416 417 466 486 782 789 827 872 1014 1024 1108 1122 1137 1167 1171
194	STO14	292	2	
197	STO14	11	1	289 812 1019
199	HLL107	239	4	122 135 151 479 688 745 910 1139
202	HLS109	167	4	12 26 39 70 87 174 188 199 236 252 258 326 335 381 403 421 423 470 523 524 534 540 543 587 602 609 624 626 631 633 654 662 678 779 867 885 901 973 1061 1076 1092 1121 1129 1171
204	SHAAUD	54	3	33 41 102 126 137 241 303 321 379 383 384 401 565 580 593 701 712 858 864 909 997 1107 1145
717	HLL106	182	9	76 144 176 216 249 262 263 275 330 511 550 826 1024 1026 1161
720	SHAAUD	95	6	29 64 171 202 223 311 379 417 549 623 627 748 775 789 822 940 951 1050 1099 1148
209	STO10	230	8	2 10 139 165 192 209 213 290 398 438 542 591 594 602 635 767 792 915 954 1002 1026 1049 1076 1088 1113 1136 1164
213	LNKL309	282	2	42 237 279 341 382 475 480 521 640 803 809 990 1090
214	HLL107	241	3	452 711 982 1169
217	STOAUD	146	9	215 283 425 483 536 554 590 635 650 723 740 762 829 851 880 894 999 1037 1063
731	STO18	228	5	99 128 194 298 835 892 1098
732	MAGILLHVID	68	3	97 171 319 1179
223	HLS109	170	1	141 222 1071
224	MAGILLHVID	18	4	98 165 182 213 232 235 366 372 430
737	ESTW309	119	2	
228	GST101	237	3	253 349 392 627 639 983
746	WDS	218	1	186 565 655 857 1159 1180
235	SHAAUD	195	8	69 79 348 435 494 744 1036 1047
236	HLL6	74	8	109 130 268 309 468 492 613 658 766 774 783 833 905 951 1104
238	MAGILLHVID	232	10	79 107 217 275 350 517 549 665 791
240	GST102	329	4	186 446 790
244	HLL7	320	6	643 715
251	STO301	230	4	333 342 526 547 560 936 941
253	STO18	146	4	349 778 1151 1167
267	HLS105	116	10	76 121 249 326 348 716 724 782 951 1037 1042
268	SHA410	54	12	102 113 321 376 379 383 478 666 712 768 858 909 923 1089 1145
277	GST103	272	6	303 426 720 1051 1071 1078
282	SHA412	122	7	13 92 111 193 301 433 489 490 703 714 731 737 847 881 928 973 1031 1131 1136
283	STO119	71	1	242 603 835
290	HLS105	153	4	294 352 545 665 711 788 988 1097 1146
292	ROB7	316	2	74 242 603 646 720
295	HLL6	145	7	25 104 181 197 249 254 302 363 420 428 455 498 520 542 546 629 650 699 741 758 787 806 864 874 911 960 966
297	HLL112	38	2	
305	WDS	67	6	78 89 142 143 201 218 310 337 371 486 508 513 604 610 644 746 755 807 870 925 1120
308	HLS109	304	3	51 67 95 101 138 148 153 158 180 189 232 236 256 307 328 353 381 411 464 470 493 505 528 532 558 561 633 660 707 756 774 795 797 863 924 980 991 1039 1072 1083 1086 1108 1121 1129 1138 1171
309	HLL106	300	3	21 139 143 346 391 443 456 591 677 747
311	HLL6	241	9	130 221 253 258 328 348 392 546 553 759 768 898 929 1002 1076 1078
312	GST101	237	6	318 328 474 553 881 898 1154
313	SHA410	188	1	3 4 7 9 11 13 16 35 43 47 158 181 204 206 214 226 233 255 285 288 296 304 313 377 380 398 408 443 451 463 467 468 481 489 527 531 536 554 583 584 585 588 591 624 626 642 671 673 689 693 732 734 753 754 776 813 829 851 926 927 981 1001 1008 1010 1022 1026 1028 1042 1066 1114 1116 1132 1162 1173
315	MAGILLHVID	232	8	33 105 210 546 574 733 825 993 1009
319	UN114	238	10	9 114 483 518 558 779 806 821 922 1031 1139 1149 1155
323	GST102	44	12	2 15 85 91 144 414 438 487 602 745 776 823 898 1058
327	HLL201	98	2	291 539 641 751 769 799 860 888 967 982 1102
328	HLL6	212	1	33 57 58 83 85 105 120 142 149 171 264 267 303 350 365 366 373 384 477 526 630 674 730 733 756 789 870
336	STO16	28	8	285 385 622 679 693 700 776 912 1093 1175
341	HLL201	257	4	25 34 158 288 466 471 481 503 588 651 713 743 747 775
344	SHAAUD	248	2	91 107 108 152 196 393 418 484 490 499 530 533 538 572 666 763 773 800 864 877 879 887 908 909 915 971 987 997 1047 1093 1127 1156
740	ESTW115	159	3	45 159 164 250 305 463 531 636 837 1110 1123 1172
347	HLL7	19	9	375 420 439 658 789 857 882 902 907 964 984 1044
350	STOAUD	88	4	21 128 176 249 330 348 451 498 670 993 996
352	HLL106	182	5	112 266 290 333 485 743 856 955 986 1071
355	STO10	83	10	124 224 425 453 492 590 754 966 1017 1039 1177
359	STO119	137	2	
360	HLL201	124	9	86 89 132 143 214 228 276 310 401 485 540 676 742 827
572	LNKL309	267	1	62 145 246 361 412 661 681 1021 1098
363	GST102	189	11	38 54 138 280 466 548 588 626 725 726 768 864 895 908
365	SHA410	192	6	146 147 235 245 395 431 444 460 518 519 539 543 575 673 698 709 798 834 883 918 934 977 985 1007 1016 1032 1033 1045 1143
370	HLL106	318	6	10 39 72 86 174 227 246 401 412 510 717 718 868 984 1109 1115
659	CHS101	180	7	7 8 65 69 127 130 133 147 182 212 224 389 503 536 558 625 644 686 722 827 839 936
374	STOAUD	168	1	5 24 51 297 302 321 364 381 393 399 455 606 608 715 735 738 746 800 853 877 960 973 974 1039 1091
375	STO10	185	7	124 274 316 360 408 459 525 627 653 663 672 676 781 817 828 853
377	HLL7	323	4	112 134 168 291 751 799 890 959 1014 1072
378	LNKL205	207	10	187 256 426 577 833
385	UN114	245	3	28 39 56 104 162 385 439 461 601 606 699 708 807
386	HLS109	201	10	55 190 191 205 259 376 377 429 432 487 650 652 670 694 769 832 921 985 1088 1113 1163
747	HLL201	166	3	37 112 272 330 369 436 501 576 688 771 781 993
388	HLS105	15	7	123 245 387 477 567 651 665 675 691 757 777 917 1036 1051 1081 1095 1124 1178
395	HLL7	241	1	59 194 320 417 452 902 1148 1154
399	HLS105	293	2	22 66 67 78 297 483 633 728 735 737 881 896 905 1043 1104 1136 1150 1183
401	STO16	14	9	326 415 636 1122
610	SHA213	179	6	77 533
406	MAGILLMR	317	4	57 94 346 785
407	HLL7	239	5	278 287 869 952 1151 1167
408	STO18	21	1	74 79 150 163 494 517
580	GST102	1	2	485 743 890
411	ESTW115	56	2	82 183 231 292 307 319 505 797 995 1038 1085
412	SHA410	27	4	6 24 72 109 152 222 225 259 298 347 370 388 431 445 484 496 500 511 517 537 555 604 608 664 710 746 824 908 929 971 1005 1047 1111
581	ESTW307	254	4	255 454 536 722 767 777 1157
416	SHA217	169	7	57 88 152 168 218 310 388 709 799 824 956 1158
432	SHA213	54	4	160 619
433	WDS	61	2	264 281 361 390 514 569 608 620 634 788 849 862 932 1154
436	OBS	297	1	87 183 187 189 231 281 292 307 319 474 528 577 707 797 859 889 932 995 1038 1083 1085
437	GST102	132	3	30 368 437 550 641 791 832 1068 1163
439	WDS	61	10	297 313 324 537 594 618 656 728 738 755 929 1025
440	HLL106	171	1	173 349 389 390 815 900 976 1056 1126
442	HLL107	300	2	221 346 384 582 688 910 924
443	LNKL205	90	3	298 680 896
444	ROB7	75	1	483 509 563 855 933
445	STO10	88	5	14 20 22 48 101 129 203 238 446 502 574 598 602 872 928 947 999 1023 1040 1131 1132 1155
454	HLL6	290	3	62 86 89 123 145 246 275 294 320 389 540 615 655 661 681 695 742 788 815 852 900 1034 1056 1109 1112 1159 1180
457	HLL6	46	10	65 66 162 192 199 212 225 399 441 510 625 675 678 725 749 771 792 954 987 1066
459	STO16	7	2	41 192 216 272 544 623 920 1049 1051
460	STOAUD	71	8	49 221 233 263 310 342 534 636 657 676 684 686 725 823 939 965 1070 1128 1153 1183
462	UN111	238	3	271 295 367 390
466	CHS101	266	10	94 254 340 341 370 447 448 486 503 527 614 630 726 919 934 950 1016
474	GST101	189	1	501 545 705 752 1078
476	ESTW115	254	8	3 116 191 312 387 762 782 801 872 1132 1150 1156
477	STO301	233	5	51 90 267 289 315 421 624
478	STO10	33	2	4 9 13 17 37 90 111 125 127 141 184 215 275 280 359 423 425 447 479 507 508 592 631 637 687 698 752 756
479	GST102	329	1	66 68 124 240 328 386 387 415 423 717 989 1044 1046 1165
481	ESTW115	259	10	36 101 126 300 304 306 419 421 516 559 617 632
482	GST101	294	2	186
484	STOAUD	30	5	6 70 336 416 419 885 920 965 1034 1175
487	CHS101	78	9	209 355 404 406 466 506 513 708 772 791 832 838 888 953 1053 1117 1135 1159
489	SHA213	43	7	31 404
492	STO14	101	5	275 641 788 967
495	HLL112	29	1	119 207 311 356 866
500	STO16	137	1	71 148 248 332 340 355 367 410 506 551 645 664 672 697 709 893 998 1000 1054 1059 1140 1160
545	STO16	228	4	264 568 628 684 701 717 857 916
502	ESTW307	259	3	419 425 803 1040
596	STO102	30	1	748 922 1075
