Course	Room	Teacher	Time	Students
73	30	43	4	11 158 165 225 259 264 298 331 418 471 579 674 698 709 884 889 904 991 1001 1168 1179 880
74	2	126	9	34 245 494 511 580 613 801 815 831 1009 1110 1137 87
75	24	59	9	175 194 265 313 549 581 583 589 591 662 712 871 908 932 1000
76	4	60	9	198 302 449 459 537 664 721 810 860 1081 1117 961
77	24	44	10	18 83 197 206 263 470 471 485 498 525 652 835 918 974 997
78	30	90	2	27 92 162 220 445 468 470 534 538 638 679 689 699 736 781 901 949 979 1027 1030 1129 1150 1192
79	1	93	5	22 38 60 395 719 805 811 938 1002 1163 1036
80	4	123	2	36 246 402 481 489 500 642 827 839 972 1110 834
81	8	11	10	40 85 235 243 247 374 381 549 566 617 693 765 778 820 1002 1055
82	21	69	1	23 212 283 295 357 366 386 512 528 581 690 849 850 905 944 1147
83	19	57	4	98 275 485 632 646 724 864 999 1026 1150 1155
84	23	68	6	98 202 254 366 368 493 543 590 659 863 969 1005 1038 1092 1146 1152 185 787
85	19	50	10	312 435 486 502 528 685 779 853 977 415
86	2	102	8	67 113 205 210 238 348 486 559 584 729 752 1092 387
87	17	75	8	17 65 108 140 152 161 184 333 618 645 672 760 761 825 919 981 1047 1101 1107 1153
88	9	148	7	5 213 223 279 332 353 413 957 975 981
89	18	76	4	142 151 195 231 273 287 288 303 417 482 514 633 639 769 791 841 989 1011 1121
90	24	150	4	36 58 132 189 208 280 318 334 346 707 737 745 763 1065 1174
91	9	104	6	279 560 664 889 898 950 1032 1066 1114 1166 800
92	24	12	3	255 279 280 363 513 518 595 654 669 680 772 904 1101 1102 1117 953
93	16	5	8	12 33 174 295 309 336 352 416 442 466 526 533 854 1045
94	8	50	3	126 138 380 382 444 468 477 606 612 692 901 902 937 988 1042 1125 1180
95	30	27	10	54 57 76 157 164 256 260 282 362 465 490 540 927 945 1024 1059 1070 1118
96	7	53	3	127 163 221 240 503 637 640 733 749 881 893 934 987 1014 1169
97	4	108	4	54 397 440 455 651 802 939 967 1061 406
98	17	132	7	164 274 311 405 466 522 587 727 793 915 916 920 969 977 983 1015 1027 1077 1102 1156
99	28	55	5	114 164 242 486 505 562 620 730 842 906 962 1057 1112 1010
100	17	84	5	109 433 448 490 500 510 673 744 783 823 836 857 893 900 912 914 932 952 973 1065 1093
101	9	34	9	17 312 358 523 542 597 710 734 869 890 950 1115 1186
102	20	63	10	39 72 123 168 233 316 457 599 622 776 780 840 894 969 982 1120
103	18	141	8	38 197 204 234 258 308 332 425 444 598 599 626 740 753 799 1164 1187
104	2	77	10	45 90 94 321 678 683 954 1048 1137 1073
105	5	84	6	147 181 187 262 335 382 400 517 577 582 610 638 657 779 792 949 1019 1140
106	14	126	7	40 88 139 181 254 318 363 393 504 515 556 563 580 628 680 818 973 1075 1107 1125 1189 1196
107	30	118	7	19 48 78 106 235 387 510 564 603 629 705 763 926 934 953 959 978 1047 1058 1184 128
108	21	60	5	20 77 79 183 284 414 469 527 531 846 978 984 1014 1028 1032
109	25	9	10	207 942 955 1148
110	19	130	1	365 552 559 627 680 727 792 809 930 1160 1197
111	10	128	10	298 391 453 472 476 499 539 542 578 609 726 798 806 842 922 950 1085 1192
112	22	88	2	17 32 77 168 243 339 355 416 421 545 595 723 759 810 818 988 1014 1069 1071 1182 1199 375 879
113	15	87	5	1 61 188 191 205 252 345 494 564 573 585 627 670 686 814 995 1199
114	26	19	5	227 370 415 426 442 614 806 867 927 1068 1130 3
115	12	11	3	5 111 129 161 171 230 242 437 455 471 491 562 583 661 662 739 764 820 825 895 926 93
116	28	75	3	21 61 68 82 101 132 173 247 732 909 1016 1166 621 853
117	8	89	9	24 47 67 104 106 203 224 276 414 415 508 739 886 948 1087 1091
118	26	142	3	167 419 508 586 592 1095 1113
119	27	25	1	7 45 79 114 126 179 369 606 722 736 768 874 922 1129 1180
120	29	134	5	55 75 239 295 451 518 543 707 908
121	8	138	2	13 118 215 237 245 360 422 433 509 550 637 658 687 876 948 999 1141 1171
122	20	27	2	22 102 150 179 197 438 467 479 484 562 602 656 722 790 1018 1078 1134 1197
123	4	86	6	250 275 446 452 825 830 875 928 1075 1142
124	22	125	10	55 141 149 180 184 209 218 288 441 516 555 636 659 1022 1127 1183
125	2	64	3	170 203 270 331 566 862 885 936 1103
126	10	103	4	29 92 157 200 220 257 274 301 362 421 433 481 691 878 940 950 1018 1069 1082
127	9	115	2	70 126 540 633 733 823 914 923 956 1064 1184 343 529
128	14	98	10	173 205 266 275 364 436 437 456 497 574 710 811 881 893 1023 1080 1159 383
129	21	17	3	147 216 323 409 411 470 525 579 823 845 863 1104 18 367 1020
130	23	95	2	10 48 54 110 217 227 289 357 411 417 498 572 620 625 695 708 957 1167
131	1	44	1	167 277 306 333 374 430 451 483 681 876 884 976 759
132	15	111	8	20 154 162 222 299 497 585 662 689 710 754 989 1105 1154 1171
133	26	96	1	72 265 275 392 472 647 822 987 1105 1127
134	14	93	3	27 56 140 190 212 214 252 334 378 556 557 664 690 698 702 736 763 989 991 1009 1022 1024 1061
135	23	1	3	145 223 300 320 341 342 458 506 516 622 718 788 803 831 851 891 998 1070 1100
136	10	92	6	2 142 179 440 444 464 509 617 618 675 714 740 772 797 799 903 985 1000 1106 1155
137	22	12	9	25 81 95 136 146 151 160 237 306 354 395 411 596 650 892 946 1071 1151
138	24	85	8	202 290 350 351 369 418 985 1019 1135 1147 1172 1176 1183 1191 423
139	28	100	6	34 99 233 269 318 381 395 448 507 602 886 1145 230 390
140	26	99	8	30 35 118 170 434 641 813 820 898 1128 669 688
141	25	29	9	189 363 458 493 504 510 551 599 759 843 951
142	15	8	10	13 73 148 231 317 376 419 520 616 941 962 1012 1018 1146 1188
143	7	142	7	166 244 334 397 536 741 744 783 849 856 858 971 1034 824 1095
144	22	146	5	63 115 196 358 430 489 569 612 679 714 795 796 838 933 982 990 1177 1180 1188
145	3	144	2	81 82 158 172 188 312 389 431 493 547 563 678 799 831 870 871 885 926 1003 1004 1103
146	24	42	5	32 74 94 105 118 218 233 598 757 886 907 1076 1170 1178 1200 675
147	25	52	6	223 408 417 530 545 725 731 747 858 992 1173
148	23	124	9	150 200 238 251 300 322 539 619 641 787 812 825 859 998 1021 1054 85
149	11	137	8	43 50 263 536 571 750 834 835 903 904 915 1005 1136
150	25	61	2	178 466 515 557 571 698 838 889 910 947 1039
151	18	102	10	86 322 324 588 676 732 771 871 923 947 975 1039 1043 1047 1062 439
152	13	124	2	9 33 60 268 338 482 526 558 627 713 769 856 860 1020 1101 461
153	17	130	4	10 55 97 124 139 140 168 286 340 372 416 474 477 549 695 792 896 952 955 1009 1147 1180
154	22	79	1	88 117 198 202 267 281 326 327 350 569 607 678 810 853 967 986 994 1027 1052 1188 169 715
155	16	109	5	217 234 314 320 384 557 629 681 713 773 822 897 1192 144
156	21	13	7	21 116 222 243 268 331 410 414 447 605 644 753 936 982
157	5	1	7	25 147 294 323 350 361 401 675 713 726 788 862 923 964 1006 1023 1142 1197
158	25	6	1	203 344 547 602 777 980 1062 1137 138
159	29	98	7	83 378 554 645 805 910 261
160	17	29	3	135 148 154 162 165 178 191 211 403 432 456 476 546 597 630 658 676 848 1123 1187 1190 1198 571 943
161	7	99	4	53 102 204 467 545 565 693 704 840 873 996 1023 1109 1116
162	13	143	1	12 38 294 436 555 587 589 697 746 845 894 935 992 1035 1171 1175
163	6	2	8	129 248 393 511 523 610 695 727 736 862 968 1026 1063 1074 1163 1166
164	18	54	3	35 77 166 238 266 338 398 399 404 410 423 679 704 758 762 802 877 924 999 495
165	19	91	6	43 154 158 221 534 753 757 774 806 899 1143
166	6	74	10	155 308 319 434 443 468 594 819 939 1004 1036 1066 1099 1102 1164
167	8	61	1	28 98 131 145 183 356 419 475 521 542 755 796 828 867 913 1012 1045 1156
168	4	105	8	62 89 125 407 482 838 925 931 1120
169	11	5	3	59 91 373 488 530 931 938 941 985 1010 1119 1174
170	10	119	8	31 55 100 116 156 159 271 287 524 538 553 579 725 1039 1102 1132 1133 1185
171	19	15	9	31 46 206 231 371 487 531 702 713 782 902 1170 122
172	27	122	3	115 273 480 499 582 783 870 932 1067 1074 1109 1154
173	12	116	10	14 19 92 217 224 251 445 463 562 618 749 754 766 799 843 848 1064 1105 1140 339
174	20	40	9	254 297 448 601 642 705 725 773 777 837 866 898 960 985 1051 1067
175	17	141	10	56 81 290 346 366 461 535 584 586 589 634 873 897 961 976 984 1042 1078 1143
176	7	114	6	25 87 176 208 268 430 748 764 902 1029 1177 1196
177	28	76	10	16 131 361 446 449 572 625 709 787 789 872 1015 1131
178	4	145	3	8 248 496 684 695 1001 1186
179	12	123	5	69 76 130 182 199 206 207 246 287 373 379 488 567 591 780 826 924 1004 1015 1021 1022 746
180	4	9	1	144 177 653 725 910 1047 1061 1079 1110 1136
181	22	66	6	11 31 102 117 136 172 380 465 654 700 708 743 766 836 841 1028 1111 1163 1178 1193
182	14	23	9	3 6 71 124 229 257 282 289 348 355 382 419 595 655 728 793 937 1074 1159
183	29	7	10	278 551 1031 15
184	3	34	7	114 125 131 141 344 370 501 648 751 832 965 1016 1126 1157 1164 1170 907
185	29	140	6	95 104 193 197 261 327 549 1088 1154
186	2	43	5	111 148 229 329 348 380 464 648 864 889 1107 424
187	11	144	7	156 255 324 355 367 398 462 494 668 760 833 855 1064 1165
188	3	129	3	51 143 301 351 361 391 424 426 441 510 548 623 747 958 959 996 1038 1082 1112 1134 878
189	21	143	4	65 239 262 278 289 317 351 569 628 677 948 1055 1151 1184 918
190	5	77	5	100 266 268 272 328 377 463 563 590 959 966 971 1052 1124 1194
191	28	15	4	16 38 376 496 511 564 570 605 738 929 1046 1053 1120 1191 859
192	11	22	10	1 134 191 311 347 421 452 775 793 885 995 1053
193	12	121	4	63 73 78 79 99 108 120 193 224 249 290 425 559 624 659 699 807 821 891 905 1145 1183 1187 1194
194	9	33	4	240 558 728 751 916 937 954 982 1017 1118 1139
195	9	100	10	4 66 113 300 345 717 722 809 1017 1174 711
196	16	3	4	17 69 105 253 328 429 450 512 635 819 870 960 1169 1195
197	9	112	3	16 98 104 372 497 611 638 776 846 1161 241
198	11	120	4	7 114 186 207 762 847 866 911 947 1012 1081 1172 1190 251
199	26	73	9	143 241 362 512 732 790 852 854 1094 1112 1177 277
200	6	66	7	61 178 371 392 407 431 567 586 589 672 798 826 879 1123 1144 326
201	26	51	6	196 323 527 540 551 716 745 786 852 1050 1100 213
202	24	26	1	201 210 219 224 226 457 539 631 718 836 844 885 920 921 1104 1169
203	16	10	6	115 130 160 247 252 379 505 608 906 990 1059 1096 1175 891
204	25	65	3	28 71 182 921 965 997 1063
205	19	35	7	36 86 206 226 304 325 847 1022 1040
206	4	78	5	43 341 343 514 555 766 817 860 919 955 972 1128
207	28	89	1	1 9 86 132 189 335 406 412 553 726 800 936 939 1054 1025
208	11	23	5	24 142 256 281 298 499 603 784 812 844 895 1029 1142 1145
209	18	127	9	4 20 51 86 174 228 320 329 364 389 405 572 761 941 1006 1126 1127 379
210	27	127	7	103 190 252 269 273 322 592 737 1011 1063 1109 1140
211	7	140	10	22 165 220 244 284 373 464 637 694 868 960 1010 1050 1157
212	8	25	5	127 128 186 280 308 413 517 524 570 677 733 829 835 1030 1041 1048
213	26	80	4	12 15 145 213 636 703 717 945 957 968 995 1084
214	25	31	8	2 92 111 243 270 644 864 1119
215	21	128	6	97 111 161 209 234 424 439 574 649 689 718 956 970 1041 1083
216	3	21	10	50 196 359 513 522 530 553 600 677 774 782 831 920 1089 1128 1198 293
217	1	131	2	113 146 148 336 405 543 974 1034 1040 1115 1122 1191 1193
218	13	81	7	291 656 684 756 821 829 844 865 940 1045 1057 1084 1159 1181 1191 764
219	7	133	9	112 119 328 361 462 491 574 610 708 788 940 1027 1195
220	12	55	8	101 313 314 380 399 462 465 474 479 546 558 580 797 867 873 979 1065 1080 1085 1159 1162
221	20	38	3	60 158 383 624 643 712 760 868 1019 1041 1085 1099 1155 554 647 1108
222	21	138	9	88 123 350 428 430 684 696 726 768 772 956 1017 1131 1172
223	7	70	5	121 338 406 437 438 481 561 682 696 699 712 800 833 909 910 960
224	12	38	1	18 32 37 66 95 121 211 282 414 490 538 641 646 716 807 829 840 883 896 946 952 996 1060 1112 1176
225	20	107	4	60 201 265 293 390 407 502 535 555 563 615 768 836 1101 1122 1200 422
226	13	97	10	183 310 329 385 397 429 518 565 568 814 827 1013 1044 1149 1185 403
227	3	22	4	152 169 216 236 489 507 623 712 719 753 814 827 850 856 900 919 958 1167 1088 1115
228	5	54	2	157 195 204 311 397 451 487 519 544 548 732 814 830 841 861 896 1052 1116 1131 1138
229	3	35	9	40 68 173 325 391 535 697 752 763 783 861 883 909 919 957 1173 1179
230	11	135	6	435 451 526 587 663 796 803 821 833 855 1043 1167
231	7	133	2	30 37 356 452 460 471 502 581 697 730 793 911 1009 1017 29 1200
232	8	53	7	28 306 469 475 478 534 541 618 652 716 721 742 963 997 1090 1092 1127 1168
233	14	86	1	19 51 53 56 146 253 279 319 452 453 578 599 651 699 711 738 756 803 806 824 834 1033 1069 1117 1130
234	18	7	2	3 51 62 121 132 256 399 410 506 574 622 632 762 765 767 786 840 924 1049 1061 1118 1139
235	18	33	6	62 178 232 299 302 331 352 421 561 566 616 817 883 915 922 929 932 1067 1072 1148
236	9	109	8	236 475 503 545 567 617 771 804 823 1070 1086 1097 1158
237	15	137	4	237 285 345 388 448 457 516 524 650 665 702 767 860 881 907 1175 309
238	9	107	5	176 366 393 432 548 901 925 1058 1082 1105 1193 778
239	1	114	3	405 484 523 567 741 744 812 815 912 946 978 1056
240	19	14	2	83 175 199 267 285 344 377 677 742 937 954
241	11	113	9	188 330 392 401 534 556 847 868 874 917 958 1011 1077 1090
242	10	101	7	1 9 167 212 358 377 429 440 467 502 630 643 657 683 702 785 875 930 979 1007
243	10	49	9	9 117 176 303 376 476 500 634 649 673 791 911 980 991 1002 1013 1031 1121 1133
244	2	121	1	77 199 385 416 425 460 560 780 791 917 1185
245	8	45	6	5 123 210 235 470 474 613 631 636 729 861 894 993 994 1020 1057 1194 1091
246	27	48	6	54 63 88 353 398 445 495 547 620 940 1063 1079
247	30	36	3	40 94 181 311 319 353 368 521 532 629 685 728 773 897 928 1028 1044 1057 1058 1071 1076 1122 1140 1146
248	30	117	8	134 137 195 274 296 344 395 453 496 508 552 590 638 642 680 857 859 967 1038 1058
249	17	148	1	6 33 76 84 163 192 194 232 236 259 384 398 544 582 594 620 785 797 866 892 901 959 1049 1190
250	15	49	3	47 121 155 262 272 326 447 615 635 666 681 701 706 715 876 992 994
251	23	71	10	26 37 46 120 137 431 597 656 665 740 794 1007 1106 1139 1170 1171 330
252	24	106	2	15 131 208 262 342 512 536 616 640 857 858 894 1038 1149 1154 1176
253	27	32	10	91 93 103 125 670 929 935 1001 1049 1097 1124 1196
254	1	135	7	58 59 218 286 321 404 581 606 667 674 817 1059 305
255	29	58	9	249 256 573 700 766 849 877 903 1107 1155 1188
256	18	62	5	14 84 136 185 192 335 336 357 439 503 509 660 743 968 981 1024 1031 1066 1084
257	7	81	8	11 75 172 185 302 321 358 365 384 402 613 987 1139 1189
258	21	108	2	117 186 524 525 666 782 826 850 862 916 967 976 1059 1185 84
259	15	97	2	122 140 425 701 775 795 835 865 880 904 990 997 1024 1031 1037 1179
260	1	95	6	217 227 306 332 338 340 682 686 781 815 918 1037 1094
261	3	147	5	171 193 291 309 596 600 609 628 689 740 774 841 947 1001 1007 1083 42 159 735
262	29	136	1	269 304 322 473 493 501 536 988 116
263	29	70	3	457 843 945 949 1080
264	28	32	2	68 108 124 149 210 272 463 505 507 531 649 899 908 1157 665
265	28	92	9	58 83 105 215 236 334 346 368 442 669 687 808 1042 1132 1026
266	26	62	2	49 66 153 286 381 694 751 756 758 869 1148 660 1093
267	29	147	2	46 219 459 483 613 690 724 1055 1109 1186
268	2	78	6	473 508 550 609 660 709 881 931 948 951 1168 1198
269	12	6	9	234 271 315 316 367 388 399 463 688 750 786 803 926 952 1018 1019 1070 1078 1114 1122 1138 1198
270	30	40	1	5 36 91 157 171 207 237 250 270 337 341 467 551 649 671 744 781 805 827 847 897 900 1023 1167 1099
271	26	37	10	177 208 216 239 248 336 375 615 874
272	21	110	8	64 198 211 521 658 865 884 930 956 990 994 1083 1084 1121 1129
273	1	139	10	80 129 194 202 227 328 459 608 802 887 925 1144
274	27	110	4	68 187 305 462 710 772 809 830 1030 1043 1104 1136 828
275	21	28	10	156 163 504 541 560 730 743 801 808 966 980 1051 1088 480
276	10	30	5	64 151 253 270 403 446 453 631 655 663 706 751 875 882 951 1062 1075 1138 1149 1195
277	13	68	8	4 8 57 165 354 360 394 431 588 603 612 720 733 852 577 1123
278	29	104	8	458 575 623 721 802 863 1004 1040 364
279	3	14	1	50 122 125 225 245 257 340 346 479 575 597 598 691 707 1039 1053 1068 1073 1098
280	8	19	4	2 146 325 454 515 604 614 630 714 867 963 976 1072 1075 1111 1132 1163 52
281	26	136	7	232 308 583 869 922 1053 1103 1150 550 1003
282	17	41	6	7 177 249 378 456 483 516 542 557 635 645 692 701 719 882 909 977 979 1052 1056 1071 1187
283	3	117	6	180 215 245 305 330 342 355 529 584 586 644 761 816 913 921 1025 1045 1151
284	30	88	6	59 75 89 199 347 369 450 489 521 598 637 711 794 807 890 905 942 980 1129 1156 1169
285	4	52	7	22 50 498 822 941 1048 1162 27 135 887
286	13	111	4	70 123 404 413 504 602 631 722 727 757 842 843 984 998 360 895
287	9	122	1	11 25 49 127 427 447 527 577 818 832 852 998 394
288	23	73	4	133 162 166 192 333 385 494 501 519 526 573 594 608 667 761 801 837 913 1197
289	19	80	3	113 183 600 625 639 807 886 944 964 1184 607
290	16	74	3	194 209 244 260 433 627 705 734 748 798 813 966 1172 652
291	25	28	5	374 389 484 525 530 626 781 794 961 970 1141
292	18	30	1	41 74 97 103 285 289 382 499 558 570 642 717 924 965 971 989 1000 1093 1179 1186 10 643
293	23	149	7	32 39 112 200 365 374 427 497 596 670 743 758 804 1044 1046 1069 1098
294	13	67	6	81 170 264 371 375 386 466 533 588 666 1008 1150 1174 292
295	12	36	6	58 71 120 296 409 460 585 611 624 651 656 704 723 762 780 854 873 944 964 1108 1138 1149 1158
296	7	139	1	135 166 354 420 601 603 650 661 692 748 767 927 1120 1162 1183 734 747
297	14	90	4	106 248 250 284 423 739 750 811 839 848 879 890 965 972 1006 1035 1037 1041 1054 1073 1128 1164 130
298	12	67	2	34 107 164 190 261 317 337 404 435 469 517 522 560 576 608 661 715 745 829 832 1011 1065 1177
299	22	131	7	37 72 73 99 155 277 288 376 402 552 575 719 883 935 1106 1119 1161 1194 1199
300	27	149	8	312 386 450 548 633 693 701 839 893 934 963 1037 1165 528
